date,datetime,SACTMIN,SPOSTMIN
01/01/2015,2015-01-01 07:16:12,,10
01/01/2015,2015-01-01 07:23:12,,10
01/01/2015,2015-01-01 07:29:12,,10
01/01/2015,2015-01-01 07:37:12,,15
01/01/2015,2015-01-01 07:44:12,,10
01/01/2015,2015-01-01 07:51:12,,10
01/01/2015,2015-01-01 08:02:13,,10
01/01/2015,2015-01-01 08:09:12,,10
01/01/2015,2015-01-01 08:16:12,,10
01/01/2015,2015-01-01 08:23:12,,10
01/01/2015,2015-01-01 08:29:12,,10
01/01/2015,2015-01-01 08:37:13,,10
01/01/2015,2015-01-01 08:44:11,,10
01/01/2015,2015-01-01 08:51:12,,10
01/01/2015,2015-01-01 09:02:13,,10
01/01/2015,2015-01-01 09:09:16,,10
01/01/2015,2015-01-01 09:16:12,,10
01/01/2015,2015-01-01 09:22:35,,10
01/01/2015,2015-01-01 09:23:12,,10
01/01/2015,2015-01-01 09:29:12,,10
01/01/2015,2015-01-01 09:37:12,,10
01/01/2015,2015-01-01 09:44:11,,10
01/01/2015,2015-01-01 09:51:12,,10
01/01/2015,2015-01-01 10:02:14,,15
01/01/2015,2015-01-01 10:09:12,,15
01/01/2015,2015-01-01 10:16:12,,20
01/01/2015,2015-01-01 10:23:11,,20
01/01/2015,2015-01-01 10:29:13,,20
01/01/2015,2015-01-01 10:37:13,,20
01/01/2015,2015-01-01 10:44:13,,20
01/01/2015,2015-01-01 10:51:13,,20
01/01/2015,2015-01-01 10:57:47,,35
01/01/2015,2015-01-01 11:02:14,,35
01/01/2015,2015-01-01 11:09:14,,45
01/01/2015,2015-01-01 11:16:13,,45
01/01/2015,2015-01-01 11:23:13,,50
01/01/2015,2015-01-01 11:29:13,,50
01/01/2015,2015-01-01 11:37:13,,50
01/01/2015,2015-01-01 11:44:13,,50
01/01/2015,2015-01-01 11:51:12,,35
01/01/2015,2015-01-01 12:02:14,,30
01/01/2015,2015-01-01 12:09:14,,30
01/01/2015,2015-01-01 12:16:12,,30
01/01/2015,2015-01-01 12:23:12,,30
01/01/2015,2015-01-01 12:29:12,,30
01/01/2015,2015-01-01 12:37:16,,30
01/01/2015,2015-01-01 12:44:13,,30
01/01/2015,2015-01-01 12:51:12,,30
01/01/2015,2015-01-01 13:02:14,,35
01/01/2015,2015-01-01 13:09:23,,35
01/01/2015,2015-01-01 13:16:13,,65
01/01/2015,2015-01-01 13:16:59,,65
01/01/2015,2015-01-01 13:23:13,,45
01/01/2015,2015-01-01 13:29:12,,40
01/01/2015,2015-01-01 13:37:12,,40
01/01/2015,2015-01-01 13:44:17,,65
01/01/2015,2015-01-01 13:51:11,,50
01/01/2015,2015-01-01 14:02:13,,45
01/01/2015,2015-01-01 14:09:12,,50
01/01/2015,2015-01-01 14:16:12,,65
01/01/2015,2015-01-01 14:23:12,,45
01/01/2015,2015-01-01 14:29:12,,40
01/01/2015,2015-01-01 14:37:12,,40
01/01/2015,2015-01-01 14:44:13,,40
01/01/2015,2015-01-01 14:51:12,,35
01/01/2015,2015-01-01 15:02:14,,45
01/01/2015,2015-01-01 15:09:13,,50
01/01/2015,2015-01-01 15:16:12,,45
01/01/2015,2015-01-01 15:23:13,,45
01/01/2015,2015-01-01 15:29:13,,50
01/01/2015,2015-01-01 15:37:15,,55
01/01/2015,2015-01-01 15:44:17,,55
01/01/2015,2015-01-01 15:51:13,,55
01/01/2015,2015-01-01 16:02:14,,55
01/01/2015,2015-01-01 16:09:13,,55
01/01/2015,2015-01-01 16:16:12,,30
01/01/2015,2015-01-01 16:23:12,,50
01/01/2015,2015-01-01 16:29:12,,50
01/01/2015,2015-01-01 16:37:12,,40
01/01/2015,2015-01-01 16:44:12,,40
01/01/2015,2015-01-01 16:51:12,,45
01/01/2015,2015-01-01 17:02:13,,50
01/01/2015,2015-01-01 17:09:14,,45
01/01/2015,2015-01-01 17:16:13,,45
01/01/2015,2015-01-01 17:23:12,,50
01/01/2015,2015-01-01 17:29:12,,50
01/01/2015,2015-01-01 17:37:12,,50
01/01/2015,2015-01-01 17:44:12,,70
01/01/2015,2015-01-01 17:51:12,,45
01/01/2015,2015-01-01 18:02:14,,40
01/01/2015,2015-01-01 18:09:13,,35
01/01/2015,2015-01-01 18:16:12,,40
01/01/2015,2015-01-01 18:23:12,,40
01/01/2015,2015-01-01 18:29:12,,40
01/01/2015,2015-01-01 18:37:12,,25
01/01/2015,2015-01-01 18:44:12,,30
01/01/2015,2015-01-01 18:51:12,,30
01/01/2015,2015-01-01 19:02:14,,25
01/01/2015,2015-01-01 19:09:13,,25
01/01/2015,2015-01-01 19:16:12,,30
01/01/2015,2015-01-01 19:23:12,,35
01/01/2015,2015-01-01 19:29:11,,30
01/01/2015,2015-01-01 19:37:12,,35
01/01/2015,2015-01-01 19:44:12,,35
01/01/2015,2015-01-01 19:51:11,,25
01/01/2015,2015-01-01 20:02:13,,35
01/01/2015,2015-01-01 20:09:14,,15
01/01/2015,2015-01-01 20:16:12,,20
01/01/2015,2015-01-01 20:23:13,,15
01/01/2015,2015-01-01 20:29:12,,10
01/01/2015,2015-01-01 20:37:13,,10
01/01/2015,2015-01-01 20:44:12,,10
01/01/2015,2015-01-01 20:51:12,,10
01/01/2015,2015-01-01 20:59:26,,10
01/01/2015,2015-01-01 21:02:13,,10
01/01/2015,2015-01-01 21:05:01,2,
01/01/2015,2015-01-01 21:09:12,,10
01/01/2015,2015-01-01 21:16:16,,10
01/01/2015,2015-01-01 21:23:11,,10
01/01/2015,2015-01-01 21:29:12,,10
01/01/2015,2015-01-01 21:37:13,,10
01/01/2015,2015-01-01 21:44:12,,10
01/01/2015,2015-01-01 21:51:12,,10
01/01/2015,2015-01-01 22:02:13,,15
01/01/2015,2015-01-01 22:09:12,,10
01/01/2015,2015-01-01 22:16:12,,10
01/01/2015,2015-01-01 22:20:54,,10
01/01/2015,2015-01-01 22:23:12,,10
