date,datetime,SACTMIN,SPOSTMIN
05/23/2015,2015-05-23 09:55:13,,-999
05/23/2015,2015-05-23 10:00:09,,-999
05/23/2015,2015-05-23 10:05:07,,-999
05/23/2015,2015-05-23 10:10:12,,-999
05/23/2015,2015-05-23 10:15:12,,-999
05/23/2015,2015-05-23 10:20:07,,-999
05/23/2015,2015-05-23 10:25:07,,-999
05/23/2015,2015-05-23 10:30:13,,-999
05/23/2015,2015-05-23 10:35:15,,-999
05/23/2015,2015-05-23 10:40:11,,-999
05/23/2015,2015-05-23 10:45:07,,-999
05/23/2015,2015-05-23 10:50:13,,-999
05/23/2015,2015-05-23 10:55:05,,-999
05/23/2015,2015-05-23 11:00:37,,-999
05/23/2015,2015-05-23 11:05:43,,-999
05/23/2015,2015-05-23 11:15:13,,-999
05/23/2015,2015-05-23 11:20:10,,-999
05/23/2015,2015-05-23 11:25:06,,-999
05/23/2015,2015-05-23 11:30:07,,-999
05/23/2015,2015-05-23 11:40:14,,-999
05/23/2015,2015-05-23 11:45:13,,-999
05/23/2015,2015-05-23 11:50:55,,-999
05/23/2015,2015-05-23 11:55:08,,-999
05/23/2015,2015-05-23 12:00:38,,-999
05/23/2015,2015-05-23 12:05:14,,-999
05/23/2015,2015-05-23 12:10:14,,-999
05/23/2015,2015-05-23 12:15:14,,-999
05/23/2015,2015-05-23 12:20:18,,-999
05/23/2015,2015-05-23 12:25:56,,-999
05/23/2015,2015-05-23 12:30:08,,-999
05/23/2015,2015-05-23 12:35:17,,-999
05/23/2015,2015-05-23 12:40:19,,-999
05/23/2015,2015-05-23 12:45:11,,-999
05/23/2015,2015-05-23 12:50:10,,-999
05/23/2015,2015-05-23 12:55:11,,-999
05/23/2015,2015-05-23 13:00:10,,-999
05/23/2015,2015-05-23 13:05:11,,-999
05/23/2015,2015-05-23 13:10:12,,-999
05/23/2015,2015-05-23 13:15:07,,-999
05/23/2015,2015-05-23 13:20:36,,-999
06/17/2015,2015-06-17 08:05:14,,-999
06/17/2015,2015-06-17 08:10:10,,-999
02/29/2016,2016-02-29 08:42:25,,0
02/29/2016,2016-02-29 08:49:07,,0
02/29/2016,2016-02-29 08:56:06,,0
02/29/2016,2016-02-29 09:07:06,,0
02/29/2016,2016-02-29 09:14:25,,0
02/29/2016,2016-02-29 09:21:21,,0
02/29/2016,2016-02-29 09:27:07,,0
02/29/2016,2016-02-29 09:35:31,,0
02/29/2016,2016-02-29 09:42:06,,0
02/29/2016,2016-02-29 09:49:09,,0
02/29/2016,2016-02-29 09:56:14,,0
02/29/2016,2016-02-29 10:07:05,,0
02/29/2016,2016-02-29 10:14:19,,0
02/29/2016,2016-02-29 10:21:18,,0
02/29/2016,2016-02-29 10:27:04,,0
02/29/2016,2016-02-29 10:42:56,,0
02/29/2016,2016-02-29 10:49:11,,0
02/29/2016,2016-02-29 10:56:12,,0
02/29/2016,2016-02-29 11:07:11,,0
02/29/2016,2016-02-29 11:21:09,,0
02/29/2016,2016-02-29 11:35:14,,0
02/29/2016,2016-02-29 11:42:13,,0
02/29/2016,2016-02-29 11:49:08,,0
02/29/2016,2016-02-29 11:56:11,,0
02/29/2016,2016-02-29 12:07:08,,0
02/29/2016,2016-02-29 12:14:08,,0
02/29/2016,2016-02-29 12:21:08,,0
02/29/2016,2016-02-29 12:27:13,,0
02/29/2016,2016-02-29 12:35:11,,0
02/29/2016,2016-02-29 12:42:11,,0
02/29/2016,2016-02-29 12:49:04,,0
02/29/2016,2016-02-29 12:56:07,,0
02/29/2016,2016-02-29 13:07:08,,0
02/29/2016,2016-02-29 13:14:14,,0
02/29/2016,2016-02-29 13:21:11,,0
02/29/2016,2016-02-29 13:27:11,,0
02/29/2016,2016-02-29 13:35:11,,0
02/29/2016,2016-02-29 13:42:09,,0
