"","ride","avg","timeofday"
"2","7 dwarfs train",72.9567092154421,"Morning"
"3","astro orbiter",23.6928034185065,"Morning"
"4","barnstormer",14.5966846382876,"Morning"
"5","big thunder mtn",32.98274935924,"Morning"
"6","buzz lightyear",28.6489162958125,"Morning"
"7","carousel of progress",5.81729834791059,"Morning"
"8","country bears",12.3697978596908,"Morning"
"9","dumbo",17.5484261501211,"Morning"
"10","enchanted tiki rm",5.38915470494418,"Morning"
"11","hall of presidents",9.07609860664523,"Morning"
"12","haunted mansion",25.2317807654361,"Morning"
"13","it s a small world",18.6491654670661,"Morning"
"14","jungle cruise",41.0390590741089,"Morning"
"15","liberty sq riverboat",15.6140350877193,"Morning"
"16","mad tea party",9.75954316622949,"Morning"
"17","magic carpets",16.1547270306258,"Morning"
"18","peoplemover",8.40640287324293,"Morning"
"19","peter pan s flight",53.9918738421782,"Morning"
"20","pirates of caribbean",25.7952514146091,"Morning"
"21","regal carrousel",7.85017873813156,"Morning"
"22","space mountain",46.3411748478951,"Morning"
"23","splash mountain",33.576357001938,"Morning"
"24","tom land speedway",22.7091174373684,"Morning"
"25","under the sea",14.0167247276912,"Morning"
"26","winnie the pooh",28.499983800946,"Morning"
"27","7 dwarfs train",79.1359907763033,"Afternoon"
"28","astro orbiter",27.7210077863864,"Afternoon"
"29","barnstormer",20.2067833371843,"Afternoon"
"30","big thunder mtn",38.290756540254,"Afternoon"
"31","buzz lightyear",33.0494603039341,"Afternoon"
"32","carousel of progress",6.31144454902829,"Afternoon"
"33","country bears",14.7598185941043,"Afternoon"
"34","dumbo",21.8754096668473,"Afternoon"
"35","enchanted tiki rm",5.07170633985388,"Afternoon"
"36","hall of presidents",9.2843002474567,"Afternoon"
"37","haunted mansion",32.5203679921055,"Afternoon"
"38","it s a small world",23.533738771152,"Afternoon"
"39","jungle cruise",44.136874734091,"Afternoon"
"40","liberty sq riverboat",14.2939759036145,"Afternoon"
"41","mad tea party",12.6992105089057,"Afternoon"
"42","magic carpets",18.8857164455532,"Afternoon"
"43","peoplemover",16.9740539027308,"Afternoon"
"44","peter pan s flight",57.9566839295268,"Afternoon"
"45","pirates of caribbean",29.2113704608542,"Afternoon"
"46","regal carrousel",9.41889696819133,"Afternoon"
"47","space mountain",58.3269348246622,"Afternoon"
"48","splash mountain",45.0401841048439,"Afternoon"
"49","tom land speedway",26.4304418551865,"Afternoon"
"50","under the sea",20.2123018194583,"Afternoon"
"51","winnie the pooh",29.5198212871509,"Afternoon"
"52","7 dwarfs train",68.0493182510235,"Evening"
"53","astro orbiter",26.110684199222,"Evening"
"54","barnstormer",15.6390048753178,"Evening"
"55","big thunder mtn",31.8698140871503,"Evening"
"56","buzz lightyear",25.7048548220417,"Evening"
"57","carousel of progress",5.65287299015331,"Evening"
"58","country bears",13.6718968898851,"Evening"
"59","dumbo",17.1620472024555,"Evening"
"60","enchanted tiki rm",4.63670237540755,"Evening"
"61","hall of presidents",9.1646914589293,"Evening"
"62","haunted mansion",24.9956461334821,"Evening"
"63","it s a small world",17.6682970742686,"Evening"
"64","jungle cruise",32.4694047664153,"Evening"
"65","liberty sq riverboat",11.6821705426357,"Evening"
"66","mad tea party",9.78972227256252,"Evening"
"67","magic carpets",15.8068638914874,"Evening"
"68","peoplemover",15.1694887921303,"Evening"
"69","peter pan s flight",51.1831807392336,"Evening"
"70","pirates of caribbean",20.0339731469737,"Evening"
"71","regal carrousel",8.15500229112571,"Evening"
"72","space mountain",53.8909565336812,"Evening"
"73","splash mountain",33.7555988697609,"Evening"
"74","tom land speedway",24.8731057062675,"Evening"
"75","under the sea",15.2608086055118,"Evening"
"76","winnie the pooh",22.5378349211507,"Evening"
