"","X","Datetime","Waiting.Time"
"1",0,"2015-01-01 10:12:43",0
"2",1,"2015-01-24 15:17:43",10
"3",2,"2015-01-29 15:42:07",0
"4",3,"2015-01-31 15:58:59",4
"5",4,"2015-02-10 11:28:02",1
"6",5,"2015-02-24 13:39:56",7
"7",6,"2015-03-24 14:19:21",9
"8",7,"2015-03-29 12:24:36",2
"9",8,"2015-03-31 15:48:54",3
"10",9,"2015-04-08 09:02:59",3
"11",10,"2015-04-08 12:23:48",6
"12",11,"2015-04-08 16:34:21",0
"13",12,"2015-04-10 14:38:54",0
"14",13,"2015-04-24 16:08:46",4
"15",14,"2015-05-07 13:34:28",3
"16",15,"2015-05-13 14:18:53",6
"17",16,"2015-05-20 13:53:43",7
"18",17,"2015-05-22 12:19:03",9
"19",18,"2015-05-28 11:14:15",4
"20",19,"2015-05-29 15:58:36",3
"21",20,"2015-05-30 12:52:52",12
"22",21,"2015-06-05 20:17:01",2
"23",22,"2015-06-08 18:06:24",11
"24",23,"2015-06-13 19:40:41",1
"25",24,"2015-06-16 13:02:42",10
"26",25,"2015-06-18 11:10:10",25
"27",26,"2015-06-18 11:15:07",25
"28",27,"2015-06-18 11:20:10",25
"29",28,"2015-06-20 12:31:49",10
"30",29,"2015-06-27 21:05:05",3
"31",30,"2015-07-08 13:58:08",5
"32",31,"2015-07-13 12:40:21",4
"33",32,"2015-07-15 11:05:09",10
"34",33,"2015-07-25 15:47:23",1
"35",34,"2015-08-02 12:57:55",4
"36",35,"2015-08-06 14:10:53",2
"37",36,"2015-08-08 12:47:28",12
"38",37,"2015-08-11 09:56:09",5
"39",38,"2015-08-11 10:07:15",5
"40",39,"2015-08-11 10:14:10",5
"41",40,"2015-08-11 10:21:08",5
"42",41,"2015-08-11 10:27:16",5
"43",42,"2015-08-11 10:35:10",5
"44",43,"2015-08-11 10:42:10",5
"45",44,"2015-08-11 10:49:07",5
"46",45,"2015-08-11 10:56:13",5
"47",46,"2015-08-11 11:00:15",5
"48",47,"2015-08-11 12:07:11",5
"49",48,"2015-08-11 12:14:08",5
"50",49,"2015-08-11 12:21:10",5
"51",50,"2015-08-11 12:27:09",5
"52",51,"2015-08-11 12:35:11",5
"53",52,"2015-08-11 12:42:11",5
"54",53,"2015-08-11 12:49:08",5
"55",54,"2015-08-11 12:56:15",5
"56",55,"2015-08-11 13:07:09",5
"57",56,"2015-08-11 13:14:08",5
"58",57,"2015-08-11 13:21:05",5
"59",58,"2015-08-11 13:27:08",5
"60",59,"2015-08-11 13:35:11",5
"61",60,"2015-08-11 13:42:10",5
"62",61,"2015-08-11 13:49:09",5
