"","X","Datetime","Waiting.Time"
"1",0,"2015-01-13 15:57:02",4
"2",1,"2015-01-24 18:59:11",6
"3",2,"2015-01-29 12:18:23",0
"4",3,"2015-02-21 10:03:50",23
"5",4,"2015-02-21 20:22:55",6
"6",5,"2015-02-24 14:04:40",10
"7",6,"2015-03-14 13:49:38",10
"8",7,"2015-03-23 09:05:04",0
"9",8,"2015-03-23 09:10:05",0
"10",9,"2015-03-23 09:15:04",0
"11",10,"2015-03-23 09:20:04",0
"12",11,"2015-03-23 09:25:04",0
"13",12,"2015-03-23 09:30:04",0
"14",13,"2015-03-23 09:35:03",0
"15",14,"2015-03-23 09:40:04",0
"16",15,"2015-03-23 09:45:04",0
"17",16,"2015-03-23 09:50:04",0
"18",17,"2015-03-23 09:55:04",0
"19",18,"2015-03-23 10:00:04",0
"20",19,"2015-03-23 10:05:04",0
"21",20,"2015-03-23 10:10:04",0
"22",21,"2015-03-23 10:15:04",0
"23",22,"2015-03-23 10:20:04",0
"24",23,"2015-03-23 10:25:04",0
"25",24,"2015-03-23 10:30:04",0
"26",25,"2015-03-23 10:35:03",0
"27",26,"2015-03-23 10:40:03",0
"28",27,"2015-03-23 10:45:03",0
"29",28,"2015-03-23 10:50:03",0
"30",29,"2015-03-23 10:55:03",0
"31",30,"2015-03-23 11:00:04",0
"32",31,"2015-03-23 11:05:04",0
"33",32,"2015-03-23 11:10:04",0
"34",33,"2015-03-23 11:15:03",0
"35",34,"2015-03-23 11:20:03",0
"36",35,"2015-03-23 11:25:04",0
"37",36,"2015-03-23 11:30:04",0
"38",37,"2015-03-23 11:35:03",0
"39",38,"2015-03-23 11:40:03",0
"40",39,"2015-03-23 11:45:04",0
"41",40,"2015-03-23 11:50:03",0
"42",41,"2015-03-23 11:55:04",0
"43",42,"2015-03-23 12:00:04",0
"44",43,"2015-03-23 12:05:03",0
"45",44,"2015-03-23 12:10:04",0
"46",45,"2015-03-23 12:15:03",0
"47",46,"2015-03-23 12:20:13",0
"48",47,"2015-03-23 12:25:04",0
"49",48,"2015-03-23 12:30:04",0
"50",49,"2015-03-23 12:35:03",0
"51",50,"2015-03-23 12:40:04",0
"52",51,"2015-03-23 12:45:04",0
"53",52,"2015-03-23 12:50:04",0
"54",53,"2015-03-23 12:55:03",0
"55",54,"2015-03-23 13:00:04",0
"56",55,"2015-03-23 13:05:03",0
"57",56,"2015-03-23 13:10:03",0
"58",57,"2015-03-23 13:15:03",0
"59",58,"2015-03-23 13:20:03",0
"60",59,"2015-03-23 13:25:04",0
"61",60,"2015-03-23 13:30:04",0
"62",61,"2015-03-23 13:35:03",0
"63",62,"2015-03-23 13:40:03",0
"64",63,"2015-03-23 13:45:03",0
"65",64,"2015-03-23 13:50:04",0
"66",65,"2015-03-23 13:55:04",0
"67",66,"2015-03-23 14:00:04",0
"68",67,"2015-03-23 14:05:03",0
"69",68,"2015-03-23 14:10:08",0
"70",69,"2015-03-23 14:15:03",0
"71",70,"2015-03-23 14:20:11",0
"72",71,"2015-03-23 14:25:03",0
"73",72,"2015-03-23 14:30:04",0
"74",73,"2015-03-23 14:35:04",0
"75",74,"2015-03-23 14:40:04",0
"76",75,"2015-03-23 14:45:03",0
"77",76,"2015-03-23 14:50:04",0
"78",77,"2015-03-23 14:55:03",0
