Ride,Date/Time,Wait Time
Alice in Wonderland,2020-02-01 07:05:07,5
Alice in Wonderland,2020-02-01 07:10:04,5
Alice in Wonderland,2020-02-01 07:15:04,5
Alice in Wonderland,2020-02-01 07:20:06,5
Alice in Wonderland,2020-02-01 07:25:03,5
Alice in Wonderland,2020-02-01 07:30:05,5
Alice in Wonderland,2020-02-01 07:35:04,5
Alice in Wonderland,2020-02-01 07:40:04,5
Alice in Wonderland,2020-02-01 07:45:04,5
Alice in Wonderland,2020-02-01 07:50:06,5
Alice in Wonderland,2020-02-01 07:55:03,5
Alice in Wonderland,2020-02-01 08:00:05,5
Alice in Wonderland,2020-02-01 08:05:04,5
Alice in Wonderland,2020-02-01 08:10:05,5
Alice in Wonderland,2020-02-01 08:15:03,30
Alice in Wonderland,2020-02-01 08:20:07,30
Alice in Wonderland,2020-02-01 08:25:03,30
Alice in Wonderland,2020-02-01 08:30:05,30
Alice in Wonderland,2020-02-01 08:35:03,30
Alice in Wonderland,2020-02-01 08:40:04,30
Alice in Wonderland,2020-02-01 08:45:03,30
Alice in Wonderland,2020-02-01 08:50:04,30
Alice in Wonderland,2020-02-01 08:55:04,30
Alice in Wonderland,2020-02-01 09:00:07,30
Alice in Wonderland,2020-02-01 09:05:04,15
Alice in Wonderland,2020-02-01 09:10:05,15
Alice in Wonderland,2020-02-01 09:15:04,15
Alice in Wonderland,2020-02-01 09:20:05,15
Alice in Wonderland,2020-02-01 09:25:05,15
Alice in Wonderland,2020-02-01 09:30:05,15
Alice in Wonderland,2020-02-01 09:35:04,30
Alice in Wonderland,2020-02-01 09:40:04,30
Alice in Wonderland,2020-02-01 09:45:06,30
Alice in Wonderland,2020-02-01 09:50:04,30
Alice in Wonderland,2020-02-01 09:55:06,30
Alice in Wonderland,2020-02-01 10:00:05,30
Alice in Wonderland,2020-02-01 10:05:04,30
Alice in Wonderland,2020-02-01 10:10:04,30
Alice in Wonderland,2020-02-01 10:15:04,30
Alice in Wonderland,2020-02-01 10:20:04,30
Alice in Wonderland,2020-02-01 10:25:03,30
Alice in Wonderland,2020-02-01 10:30:04,30
Alice in Wonderland,2020-02-01 10:35:04,30
