Park,Date/Time,Wait Time
EPCOT,2020-02-01 08:55:00,10
EPCOT,2020-02-01 09:00:00,20
EPCOT,2020-02-01 09:05:00,12
EPCOT,2020-02-01 09:10:00,13
EPCOT,2020-02-01 09:15:00,18
EPCOT,2020-02-01 09:20:00,18
EPCOT,2020-02-01 09:25:00,18
EPCOT,2020-02-01 09:30:00,21
EPCOT,2020-02-01 09:35:00,20
EPCOT,2020-02-01 09:40:00,20
EPCOT,2020-02-01 09:45:00,19
EPCOT,2020-02-01 09:50:00,18
EPCOT,2020-02-01 09:55:00,21
EPCOT,2020-02-01 10:00:00,21
EPCOT,2020-02-01 10:05:00,22
EPCOT,2020-02-01 10:10:00,22
EPCOT,2020-02-01 10:15:00,23
EPCOT,2020-02-01 10:20:00,24
EPCOT,2020-02-01 10:25:00,27
EPCOT,2020-02-01 10:30:00,28
EPCOT,2020-02-01 10:35:00,27
EPCOT,2020-02-01 10:40:00,28
EPCOT,2020-02-01 10:45:00,28
EPCOT,2020-02-01 10:50:00,28
EPCOT,2020-02-01 10:55:00,28
EPCOT,2020-02-01 11:00:00,29
EPCOT,2020-02-01 11:05:00,30
EPCOT,2020-02-01 11:10:00,30
EPCOT,2020-02-01 11:15:00,31
EPCOT,2020-02-01 11:20:00,32
EPCOT,2020-02-01 11:25:00,35
EPCOT,2020-02-01 11:30:00,35
EPCOT,2020-02-01 11:35:00,34
EPCOT,2020-02-01 11:40:00,32
EPCOT,2020-02-01 11:45:00,32
EPCOT,2020-02-01 11:50:00,31
EPCOT,2020-02-01 11:55:00,31
EPCOT,2020-02-01 12:00:00,31
EPCOT,2020-02-01 12:05:00,31
EPCOT,2020-02-01 12:10:00,31
EPCOT,2020-02-01 12:15:00,35
EPCOT,2020-02-01 12:20:00,36
EPCOT,2020-02-01 12:25:00,35
EPCOT,2020-02-01 12:30:00,37
EPCOT,2020-02-01 12:35:00,30
EPCOT,2020-02-01 12:40:00,30
EPCOT,2020-02-01 12:45:00,32
EPCOT,2020-02-01 12:50:00,28
EPCOT,2020-02-01 12:55:00,28
EPCOT,2020-02-01 13:00:00,26
EPCOT,2020-02-01 13:05:00,26
EPCOT,2020-02-01 13:10:00,24
EPCOT,2020-02-01 13:15:00,24
EPCOT,2020-02-01 13:20:00,24
EPCOT,2020-02-01 13:25:00,26
EPCOT,2020-02-01 13:30:00,24
EPCOT,2020-02-01 13:35:00,22
EPCOT,2020-02-01 13:40:00,24
EPCOT,2020-02-01 13:45:00,22
EPCOT,2020-02-01 13:50:00,25
EPCOT,2020-02-01 13:55:00,26
EPCOT,2020-02-01 14:00:00,26
EPCOT,2020-02-01 14:05:00,27
EPCOT,2020-02-01 14:10:00,26
EPCOT,2020-02-01 14:15:00,26
